phase,product_name,product_slug,category,version,doc_url,is_archived,zip_url,ga_date,topics_converted,csh_ids_count,api_ref_files,pdf_files,help_type,conversion_date,repo_name,resources_repo_name,retired
,ibi™ Omni-Gen®,ibi-omni-gen,Others,3.16.1,https://docs.tibco.com/products/tibco-omni-gen-3-16-1,TRUE,https://docs.tibco.com/pub/og/tibco-omni-gen-3-16-1_documentation.zip,22-Jan,,,,,,,,,FALSE
,ibi™ Omni-Gen®,ibi-omni-gen,Others,3.16.0,https://docs.tibco.com/products/tibco-omni-gen-3-16-0,TRUE,https://docs.tibco.com/pub/og/tibco-omni-gen-3-16-0_documentation.zip,21-May,,,,,,,,,FALSE
,ibi™ Omni-Gen® MDM,ibi-omni-gen-mdm,Master Data Management,4.3.0,https://docs.tibco.com/products/ibi-omni-gen-mdm-4-3-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-Gen® MDM,ibi-omni-gen-mdm,Master Data Management,4.1.1,https://docs.tibco.com/products/tibco-omni-gen-mdm-4-1-1,TRUE,https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-4-1-1_documentation.zip,21-Dec,,,,,,,,,FALSE
,ibi™ Omni-Gen® MDM,ibi-omni-gen-mdm,Master Data Management,4.1.0,https://docs.tibco.com/products/tibco-omni-gen-mdm-4-1-0,TRUE,https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-4-1-0_documentation.zip,21-Nov,,,,,,,,,FALSE
,ibi™ Omni-Gen® MDM,ibi-omni-gen-mdm,Master Data Management,3.16.1,https://docs.tibco.com/products/tibco-omni-gen-mdm-3-16-1,TRUE,https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-3-16-1_documentation.zip,22-Jan,,,,,,,,,FALSE
,ibi™ Omni-Gen® MDM,ibi-omni-gen-mdm,Master Data Management,3.16.0,https://docs.tibco.com/products/tibco-omni-gen-mdm-3-16-0,TRUE,https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-3-16-0_documentation.zip,21-May,,,,,,,,,FALSE
,ibi™ Omni-HealthData®,ibi-omni-healthdata,Visual Analytics,4.3.0,https://docs.tibco.com/products/ibi-omni-healthdata-4-3-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-HealthData®,ibi-omni-healthdata,Visual Analytics,4.1.1,https://docs.tibco.com/products/tibco-omni-healthdata-4-1-1,TRUE,https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-4-1-1_documentation.zip,2021-12-23T20:11:49.000Z,,,,,,,,,FALSE
,ibi™ Omni-HealthData®,ibi-omni-healthdata,Visual Analytics,3.16.1,https://docs.tibco.com/products/tibco-omni-healthdata-3-16-1,TRUE,https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-3-16-1_documentation.zip,22-Jan,,,,,,,,,FALSE
,ibi™ Omni-HealthData®,ibi-omni-healthdata,Visual Analytics,3.16.0,https://docs.tibco.com/products/tibco-omni-healthdata-3-16-0,TRUE,https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-3-16-0_documentation.zip,21-May,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2023.3.0,https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-3-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2023.2.0,https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-2-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2023.1.0,https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-1-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2022.4.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2022-4-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-4-0_documentation.zip,22-Dec,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2022.3.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2022-3-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-3-0_documentation.zip,22-Sep,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2022.2.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2022-2-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-2-0_documentation.zip,22-Jun,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2022.1.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2022-1-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-1-0_documentation.zip,22-Mar,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2021.4.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2021-4-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-4-0_documentation.zip,21-Nov,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2021.3.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2021-3-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-3-0_documentation.zip,21-Sep,,,,,,,,,FALSE
,ibi™ Omni-HealthData® Business Release,ibi-omni-healthdata-business-release,Master Data Management,2021.2.0,https://docs.tibco.com/products/tibco-omni-healthdata-business-release-2021-2-0,TRUE,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-2-0_documentation.zip,21-Jul,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.3.7,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-7,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.3.6,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-6,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.3.5,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-5,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.3.4,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-4,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.9,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-9,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.8,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-8,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.7,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-7,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.6,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-6,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.5,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-5,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.4,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-4,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.3,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-3,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.2,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-2,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.1,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-1,FALSE,,,,,,,,,,,FALSE
,ibi™ Open Data Hub for Mainframe Connectors,ibi-open-data-hub-for-mainframe-connectors,Unassigned,1.0.0,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,8207.28.14,https://docs.tibco.com/products/ibi-web-query-for-ibm-i-8207-28-14,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,8207.28.13,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-13,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,8207.28.12,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-12,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,8207.28.11,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-11,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,8207.28.09,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-09,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.2.1,https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-2-1,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.2.0,https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-2-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.1.2,https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-1-2,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.1.1,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-1-1,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.1.0,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-1-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.0.4,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-4,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.0.3,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-3,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.0.2,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-2,FALSE,,,,,,,,,,,FALSE
,ibi™ Web Query for IBM i,ibi-web-query-for-ibm-i,Visual Analytics,9.0.1,https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-1,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,9.3.7,https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-7,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,9.3.6,https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-6,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,9.3.5,https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-5,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.3.4,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-4,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.3.3,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-3,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.3.2,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-2,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.3.1,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-1,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.3.0,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-0,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.5,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-5,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.4,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-4,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.3,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-3,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.2,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-2,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.1,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-1,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.2.0,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-0,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.1.2,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-1-2,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.1.1,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-1-1,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.1.0,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-1-0,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.0.5,https://docs.tibco.com/products/ibi-webfocus-container-edition-1-0-5,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.0.4,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-4,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.0.3,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-3,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.0.2,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-2,FALSE,,,,,,,,,,,FALSE
,ibi™ WebFOCUS® - Container Edition,ibi-webfocus-container-edition,Visual Analytics,1.0.0,https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-0,FALSE,,,,,,,,,,,FALSE
