reason,product_name,version,doc_url,zip_url
api_no_folder_path,TIBCO® Orchestra Networks,Networks,https://docs.tibco.com/products/tibco-orchestra-networks,
zip_http_200,Adapter Code for TIBCO® API Exchange and Joomla!,2.3.4,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-4,https://docs.tibco.com/pub/api-exchange-joomla-adapter/2.3.4/adapter-code-for-tibco-api-exchange-and-joomla-2-3-4_documentation.zip
zip_http_200,Adapter Code for TIBCO® API Exchange and Joomla!,2.3.3,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-3,https://docs.tibco.com/pub/api-exchange-joomla-adapter/2.3.3/adapter-code-for-tibco-api-exchange-and-joomla-2-3-3_documentation.zip
zip_http_200,ibi™ WebFOCUS® DSML Services - Container Edition,1.0.7,https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-7,https://docs.tibco.com/pub/dsmlce/1.0.7/ibi-webfocus-dsml-services-container-edition-1-0-7_documentation.zip
zip_http_200,Spotfire® for Apple iOS,2.9.2,https://docs.tibco.com/products/tibco-spotfire-for-apple-ios-2-9-2,https://docs.tibco.com/pub/sf_ipad/2.9.2/tibco-spotfire-for-apple-ios-2-9-2_documentation.zip
zip_http_200,Spotfire® Service for Python,1.12.3,https://docs.tibco.com/products/tibco-spotfire-service-for-python-1-12-3,https://docs.tibco.com/pub/sf-pysrv/1.12.3/tibco-spotfire-service-for-python-1-12-3_documentation.zip
zip_http_200,Spotfire® Service for Python,1.3.9,https://docs.tibco.com/products/tibco-spotfire-service-for-python-1-3-9,https://docs.tibco.com/pub/sf-pysrv/1.3.9/tibco-spotfire-service-for-python-1-3-9_documentation.zip
zip_http_200,TIBCO ActiveMatrix® BPM - Mobilespace for iOS 1.0.0,1.0.0,https://docs.tibco.com/products/tibco-activematrix-bpm-mobilespace-for-ios-1-0-0,https://docs.tibco.com/pub/bpm-ios/1.0.0/tibco-activematrix-bpm-mobilespace-for-ios-1-0-0_documentation.zip
zip_http_200,TIBCO ActiveMatrix® Implementation Type for C++,3.2.0,https://docs.tibco.com/products/tibco-activematrix-implementation-type-for-c++-3-2-0,https://docs.tibco.com/pub/activematrix_implementation_type_for_cpp/3.2.0_august_2012/tibco-activematrix-implementation-type-for-c++-3-2-0_documentation.zip
zip_http_200,TIBCO ActiveMatrix® Implementation Type for C++,3.1.2,https://docs.tibco.com/products/tibco-activematrix-implementation-type-for-c++-3-1-2,https://docs.tibco.com/pub/activematrix_implementation_type_for_cpp/3.1.2_april_2011/tibco-activematrix-implementation-type-for-c++-3-1-2_documentation.zip
zip_http_200,TIBCO ActiveMatrix® Implementation Type for C++,3.0.1,https://docs.tibco.com/products/tibco-activematrix-implementation-type-for-c++-3-0-1,https://docs.tibco.com/pub/activematrix_implementation_type_for_cpp/3.0.1_august_2010/tibco-activematrix-implementation-type-for-c++-3-0-1_documentation.zip
zip_http_200,TIBCO ActiveMatrix® Implementation Type for C++,3.0.0,https://docs.tibco.com/products/tibco-activematrix-implementation-type-for-c++-3-0-0,https://docs.tibco.com/pub/activematrix_implementation_type_for_cpp/3.0.0_may_2010/tibco-activematrix-implementation-type-for-c++-3-0-0_documentation.zip
zip_http_200,TIBCO ActiveMatrix® Implementation Type for C++,1.1.0,https://docs.tibco.com/products/tibco-activematrix-implementation-type-for-c++-1-1-0,https://docs.tibco.com/pub/activematrix_implementation_type_for_cpp/1.1.0_february_2009/tibco-activematrix-implementation-type-for-c++-1-1-0_documentation.zip
zip_http_200,TIBCO Business Studio™ - Community Edition,4.2.0,https://docs.tibco.com/products/tibco-business-studio-community-edition-4-2-0,https://docs.tibco.com/pub/business-studio-community-edition/4.2.0/tibco-business-studio-community-edition-4-2-0_documentation.zip
zip_http_200,TIBCO BusinessWorks™ Collaborator,5.6.0,https://docs.tibco.com/products/tibco-businessworks-collaborator-5-6-0,https://docs.tibco.com/pub/businessworks_collaborator/5.6.0_june_2012/tibco-businessworks-collaborator-5-6-0_documentation.zip
zip_http_200,TIBCO BusinessWorks™ Container Edition Buildpack for PCF,2.2.1,https://docs.tibco.com/products/tibco-businessworks-container-edition-buildpack-for-pcf-2-2-1,https://docs.tibco.com/pub/bwce-pcf/2.2.1/tibco-businessworks-container-edition-buildpack-for-pcf-2-2-1_documentation.zip
zip_http_200,TIBCO BusinessWorks™ FormBuilder,5.3,https://docs.tibco.com/products/tibco-formbuilder-5-3,https://docs.tibco.com/pub/formbuilder/5.3.0_march_2007/tibco-formbuilder-5-3_documentation.zip
zip_http_200,TIBCO BusinessWorks™ FormBuilder,5.3.2,https://docs.tibco.com/products/tibco-businessworks-formbuilder-5-3-2,https://docs.tibco.com/pub/formbuilder/5.3.2/tibco-businessworks-formbuilder-5-3-2_documentation.zip
zip_http_200,TIBCO BusinessWorks™ FormBuilder,5.3.1,https://docs.tibco.com/products/tibco-businessworks-formbuilder-5-3-1,https://docs.tibco.com/pub/formbuilder/5.3.1/tibco-businessworks-formbuilder-5-3-1_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,3.1.0,https://docs.tibco.com/products/tibco-businessworks-processmonitor-3-1-0,https://docs.tibco.com/pub/bwpm/3.1.0//tibco-businessworks-processmonitor-3-1-0_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,3.0.2,https://docs.tibco.com/products/tibco-businessworks-processmonitor-3-0-2,https://docs.tibco.com/pub/bwpm/3.0.2/tibco-businessworks-processmonitor-3-0-2_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,3.0.1,https://docs.tibco.com/products/tibco-businessworks-processmonitor-3-0-1,https://docs.tibco.com/pub/bwpm/3.0.1/tibco-businessworks-processmonitor-3-0-1_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,3.0.0,https://docs.tibco.com/products/tibco-businessworks-processmonitor-3-0-0,https://docs.tibco.com/pub/bwpm/3.0.0/tibco-businessworks-processmonitor-3-0-0_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,2.2.1,https://docs.tibco.com/products/tibco-businessworks-processmonitor-2-2-1,https://docs.tibco.com/pub/businesswork_process_monitor/2.2.1-mar-2014/tibco-businessworks-processmonitor-2-2-1_documentation.zip
zip_http_200,TIBCO BusinessWorks™ ProcessMonitor,2.2.0,https://docs.tibco.com/products/tibco-businessworks-processmonitor-2-2-0,https://docs.tibco.com/pub/businesswork_process_monitor/2.2.0_November_2013/tibco-businessworks-processmonitor-2-2-0_documentation.zip
