product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
TIBCO® Data Virtualization,8.5.2,7769,6215,,2022-04-07,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-2.xml
TIBCO® Data Virtualization,8.5.3,7770,6216,,2022-07-20,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-3.xml
TIBCO® Data Virtualization,8.5.4,7770,6216,,2022-08-22,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-4.xml
TIBCO® Data Virtualization,8.5.5,7768,6214,,2022-11-17,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-5.xml
TIBCO® Data Virtualization,8.5.6,10657,8525,,2023-12-23,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-6.xml
TIBCO® Data Virtualization,8.7.0,20419,16335,,2023-04-21,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-7-0.xml
TIBCO® Data Virtualization,8.8.0,13637,10909,,2023-10-25,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-8-0.xml
TIBCO® Data Virtualization,8.8.1,14164,11331,,2025-05-07,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-8-1.xml
Spotfire® Server,12.0.10,5452,4361,"Legal and Third-Party
               	 Notices",2024-03-04,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-10.xml
Spotfire® Server,12.0.11,5452,4361,"Legal and Third-Party
               	 Notices",2024-07-09,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-11.xml
Spotfire® Server,12.0.12,5452,4361,"Legal and Third-Party
               	 Notices",2024-09-20,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-12.xml
Spotfire® Server,12.0.6,5456,4364,"Legal and Third-Party
               	 Notices",2023-09-29,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-6.xml
Spotfire® Server,12.0.7,5451,4360,"Legal and Third-Party
               	 Notices",2023-10-09,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-7.xml
Spotfire® Server,12.0.8,5450,4360,"Legal and Third-Party
               	 Notices",2023-10-24,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-8.xml
Spotfire® Server,12.0.9,5453,4362,"Legal and Third-Party
               	 Notices",2023-12-15,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-12-0-9.xml
Spotfire® Server,14.0.0,1955,1564,"Legal and Third-Party
               	 Notices",2023-11-06,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-0.xml
Spotfire® Server,14.0.1,1942,1553,"Legal and Third-Party
               	 Notices",2023-12-14,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-1.xml
Spotfire® Server,14.0.10,1941,1552,"Legal and Third-Party
               	 Notices",2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-10.xml
Spotfire® Server,14.0.11,1919,1535,"Legal and Third-Party
               	 Notices",2026-02-03,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-11.xml
Spotfire® Server,14.0.12,1919,1535,"Legal and Third-Party
               	 Notices",2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-12.xml
Spotfire® Server,14.0.2,1942,1553,"Legal and Third-Party
               	 Notices",2024-03-11,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-2.xml
Spotfire® Server,14.0.3,1942,1553,"Legal and Third-Party
               	 Notices",2024-04-16,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-3.xml
Spotfire® Server,14.0.4,1943,1554,"Legal and Third-Party
               	 Notices",2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-4.xml
Spotfire® Server,14.0.5,1942,1553,"Legal and Third-Party
               	 Notices",2024-09-20,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-server-14-0-5.xml
